01280001CB|المصرف المتحد
13000001CB|البنك التجاري الدولي مصر
14000001CB|بنك بلوم - مصر
15000001CB|بنك الامارات دبى الوطنى
17000001CB|بنك قناة السويس
19000001CB|بنك ابوظبى الاول مصر
20000001CB|البنك الاهلي المتحد
23000001CB|بنك فيصل الاسلامى المصرى
24000001CB|البنك الاهلى الكويتى- مصر
25010001CB|مصرف ابو ظبى الاسلامى
26000001CB|بنك البركه – مصر
27000001CB|بنك الكويت الوطنى - مصر
30000001CB|بنك ابو ظبى التجارى-مصر
32000001CB|البنك المصري الخليجي
33000001CB|بنك أتش أس بى سى مصر
34000001CB|بنك العمال المصري
00010001CC|بريميوم انترناشيوناال
96010001CC|شركة اميكس مصر
36000001FB|ذي بنك اوف نوفا سكوشيا
37000001FB|البنك الوطني العماني
38000001FB|بنك المشرق
39000001FB|البنك العربي
51000001FB|بنك أبو ظبي الأول
53000001FB|سيتي بنك ان ايه / مصر
57000001FB|البنك الأهلي اليوناني
00010001FS|الشركة المصرية للتخصيم ايجيبت فاكتورز
00020001FS|كاتليست بارتنرز
00030001FS|تشارتر للاستشارات الماليه
00040001FS|شركة القاهرة للتخصيم
00060001FS|شركة مصر لرأس المال المخاطر
00080001FS|بيت الخبرة للتخصيم تكنو فكتورينج
00100001FS|بلتون لرأس مال المخاطر
00110001FS|شركة توسع للتخصيم
00120001FS|شركة كونتكت للتخصيم
00130001FS|شركه ضمان مخاطر الائتمان
00140001FS|كريديتر للتكنولوجيا المالية
00150001FS|كيو ان بى الاهلى للتخصيم
00160001FS|جلوبال للتخصيم
98890001FS|شركة اندورس للتمويل و الخدمات المالية غير المصرفية
00010001HS|مدينه نصر للاسكان والتعمير
00020001HS|شركة مجموعة عامر القابضة
00040001HS|اشجار سيتى للتنمية و التطوير
00050001HS|بالم هيلز للتعمير
00060001HS|ايه اى سى فاينانس للتجارة
00070001HS|مجموعة مطاوع جروب للاستثمار العقارى و السياحى
00080001HS|الشركة الدولية للتنمية العقارية و ادارة المشروعات
00090001HS|شركة البطل للإسكان و التعمير
00091001HS|ماونتن فيو
00092001HS|بورتو جروب
00093001HS|الشركة الخليجية للانشاء و للتعمير
41000001IB|التجاري وفا بنك ايجيبت ش . م . م
42000001IB|ميد بنك
43000001IB|بنك الشركة المصرفية العربية الدولية
44000001IB|بنك كريدي أجريكول - مصر
45000001IB|بنك قطر الوطنى الاهلى
46000001IB|بنك الاستثمار العربي - المصرف الاتحادي العربي للتنمية والاستثمار
47000001IB|بنك التعمير والاسكان
49000001IB|بنك المؤسسة العربية المصرفية - مصر
50000001IB|البنك المصري لتنمية الصادرات
54000001IB|البنك العربي الافريقي الدولي
08860001LF|الشركة المصرية لخدمات التأجير التمويلى-فين ليس
98500001LF|الشركة الدولية للتاجير التمويلي- انكوليز
98520001LF|شركة كوربليس للتاجير التمويلي
98530001LF|سماء للتمويل
98540001LF|شركة التوفيق للتاجير التمويلى
98550001LF|املاك للتمويل مصر
98560001LF|تكنوليس للتأجير التمويلى
98570001LF|شركة الاهلى الكويتي - مصر للتأجير التمويلي
98590001LF|جي بي للتاجير التمويلي
98600001LF|شركة ترو فاينانس للتأجير التمويلى - تروليس
98610001LF|شركة كيو ان بى للتأجير التمويلى
98620001LF|ابو ظبى الإسلامى للتمويل-اديفاينانس
98630001LF|تمويل للتأجير التمويلى
98640001LF|شركة ارتشر فاينانس للتأجير التمويلى
98670001LF|الاهلى للتأجير التمويلى
98680001LF|كونتكت للتأجير التمويلى
98700001LF|لمجموعة المالية هيرميس للحلول التمويلية
98710001LF|العربى الافريقى الدولى للتأجير التمويلى
98720001LF|جلوبال ليز للتأجير التمويلى
98730001LF|شركة يو اي فاينانس
98740001LF|شركة التعمير للتأجير التمويلى (الاولى)
98750001LF|شركة انماء للتأجير التمويلى
98760001LF|يونايتد للتمويل
98770001LF|بى ام ليس للتأجير التمويلى
98780001LF|تنمية للتأجير التمويلى ايجى ليس
98800001LF|كايرو للتأجير التمويلى
98810001LF|شركة التعمير والاسكان للتأجير التمويلى
98820001LF|زيلا للتمويل
98830001LF|شركة اور للتأجير التمويلى
98860001LF|الشركة المصرية لخدمات التأجير التمويلى-فين ليس
98870001LF|شركة كتاليست للتأجير التمويلي
98900001LF|شركة بلتون للتأجير التمويلى
98910001LF|شركة إيزيليس للتأجير التمويلي
98920001LF|سكاى للتأجير التمويلى
98930001LF|تدبير للتأجير التمويلى والتخصيم
98940001LF|شركة بروليس للتأجير التمويلي
98950001LF|انفستيا للتأجير التمويلى
98960001LF|مصر فاينانس للخدمات المالية
98970001LF|شركة اليفات للتأجير التمويلى
98980001LF|شركة النيل للتأجير التمويلى
98990001LF|شركة أمل مصر للتأجير التمويلى
00010001MF|شركة تنميه لخدمات المشروعات الصغيره
00020000MF|الاتحاد المصرى للتمويل متناهى الصغر
00020001MF|جمعية رجال اعمال اسكندرية
00020002MF|الجمعيه المصريه لتنمية و تمويل المشروعات
00020003MF|جمعية رجال اعمال و المستثمرين بالدقهلية
00020008MF|الشركة الاولى للتمويل متناهى الصغر
00020010MF|شركة فاروس للتمويل متناهي الصغر
00020011MF|شركة كاش للتمويل متناهي الصغر
00020012MF|شركة فاروس للتمويل متناهى الصغر
00020013MF|اور لتمويل المشروعات متناهية الصغر
00020015MF|شركة فينبى للتمويل متناهى الصغر
00020018MF|شركة الخير للتمويل المتناهي الصغر
00021002MF|جمعية التنمية الاقتصادية والاجتماعية لأصحاب المعاش المبكر -القاهرة
00021004MF|جمعية شروق مصر للقروض متناهية الصغر
00021005MF|جمعية سيدات الاعمال لتنمية الصناعات الصغيرة و المتوسطة
00021006MF|الجمعية المصرية لتنمية وتطوير المشروعات – لييـــد
00021007MF|المؤسسه المصرية للتمويل
00021008MF|جمعية تنمية المجتمع المحلى بالكوم الأحمر - بلقاس الدقهلية
00021009MF|جمعية تنمية المشروعات الصغيرة والنهوض بالمجتمع - سجدا الجيزة
00021014MF|جمعية تنمية المجتمع المحل بالمفتى كفر شكر قليوبية
00021016MF|جمعية تنمية المجتمع بميت ابو العربي مركز الزقازيق
00021019MF|مؤسسة أفاق جديدة للتنمية الاجتماعية
00021020MF|جمعية قرية الأمل القاهرة
00021021MF|مؤسسة أنا المصري
00021026MF|جمعية سيدات اعمال المستقبل
00021027MF|جمعية رجال اعمال اسوان
00021028MF|جمعية نادي رجال اعمال- نجع حمادى
00021029MF|جمعية رجال الاعمال لتنمية المجتمع بالشرقية
00021030MF|جمعية تنمية المشروعات الصغيرة بنى سويف ريدك
00021032MF|جمعية رجال الاعمال باسيوط
00021034MF|جمعية تنمية المجتمع المحلي بعلى حموده بني سويف
